Subgroup,Skäggetorp_1_9_months_Men,Skäggetorp_10_12_months_Men,Skäggetorp_Never_unemployed_Men,Linköping_1_9_months_Men,Linköping_10_12_months_Men,Linköping_Never_unemployed_Men,Skäggetorp_1_9_months_ForeignBorn,Skäggetorp_10_12_months_ForeignBorn,Skäggetorp_Never_unemployed_ForeignBorn,Linköping_1_9_months_ForeignBorn,Linköping_10_12_months_ForeignBorn,Linköping_Never_unemployed_ForeignBorn,Skäggetorp_1_9_months_SwedenBorn,Skäggetorp_10_12_months_SwedenBorn,Skäggetorp_Never_unemployed_SwedenBorn,Linköping_1_9_months_SwedenBorn,Linköping_10_12_months_SwedenBorn,Linköping_Never_unemployed_SwedenBorn,Skäggetorp_Total_1_9_months,Skäggetorp_Total_10_12_months,Skäggetorp_Total_Never_unemployed,Linköping_Total_1_9_months,Linköping_Total_10_12_months,Linköping_Total_Never_unemployed,Extra_column_1,Extra_column_2,Extra_column_3,Extra_column_4,Extra_column_5
,1-9 months,10-12 months,Has not been openly unemployed,1-9 months,10-12 months,Has not been openly unemployed,1-9 months,10-12 months,Has not been openly unemployed,1-9 months,10-12 months,Has not been openly unemployed,1-9 months,10-12 months,Has not been openly unemployed,1-9 months,10-12 months,Has not been openly unemployed,1-9 months,10-12 months,Has not been openly unemployed,1-9 months,10-12 months,Has not been openly unemployed,1-9 months,10-12 months,Has not been openly unemployed,,
Skäggetorp,149,228,1119,57,143,1185,206,371,2304,83,114,1258,66,114,993,149,228,2251,232,342,2377,123,257,2178,355,599,4555,,
Linköping,457,736,6889,965,1285,38063,1422,2021,44952,348,439,6996,824,1108,34883,1172,1547,41879,805,1175,13885,1789,2393,72946,2594,3568,86831,,
Skäggetorp,123,295,1177,56,121,1176,179,416,2353,102,163,1299,53,106,968,155,269,2267,225,458,2476,109,227,2144,334,685,4620,,
Linköping,406,810,6962,809,1137,38288,1215,1947,45250,380,553,7094,832,1032,34871,1212,1585,41965,786,1363,14056,1641,2169,73159,2427,3532,87215,,
Skäggetorp,151,300,1248,58,123,1121,209,423,2369,92,175,1378,55,89,966,147,264,2344,243,475,2626,113,212,2087,356,687,4713,,
Linköping,465,857,7042,953,1099,38244,1418,1956,45286,401,561,7297,777,902,35045,1178,1463,42342,866,1418,14339,1730,2001,73289,2596,3419,87628,,
Skäggetorp,155,302,1350,62,99,1119,217,401,2469,137,151,1403,50,75,973,187,226,2376,292,453,2753,112,174,2092,404,627,4845,,
Linköping,439,847,7335,885,958,38617,1324,1805,45952,466,537,7519,654,743,35444,1120,1280,42963,905,1384,14854,1539,1701,74061,2444,3085,88915,,
Skäggetorp,159,293,1385,54,81,1142,213,374,2527,157,172,1412,38,52,977,195,224,2389,316,465,2797,92,133,2119,408,598,4916,,
Linköping,445,814,7689,738,782,38973,1183,1596,46662,447,561,7866,531,585,35698,978,1146,43564,892,1375,15555,1269,1367,74671,2161,2742,90226,,
Skäggetorp,143,303,1434,48,65,1102,191,368,2536,116,214,1442,32,43,927,148,257,2369,259,517,2876,80,108,2029,339,625,4905,,9676
Linköping,400,802,7828,673,730,38966,1073,1532,46794,365,596,8137,478,500,35750,843,1096,43887,765,1398,15965,1151,1230,74716,1916,2628,90681,,
Skäggetorp,192,294,1558,40,60,1092,232,354,2650,141,216,1522,22,33,874,163,249,2396,333,510,3080,62,93,1966,395,603,5046,,
Linköping,548,784,8492,590,669,39258,1138,1453,47750,447,602,8539,398,460,36016,845,1062,44555,995,1386,17031,988,1129,75274,1983,2515,92305,,
Skäggetorp,110,409,1584,24,62,984,134,471,2568,112,309,1535,18,38,843,130,347,2378,222,718,3119,42,100,1827,264,818,4946,,
Linköping,386,1059,9112,472,710,39576,858,1769,48688,410,791,8894,330,473,36163,740,1264,45057,796,1850,18006,802,1183,75739,1598,3033,93745,,
Skäggetorp,117,401,1694,38,41,960,155,442,2654,149,311,1592,18,28,790,167,339,2382,266,712,3286,56,69,1750,322,781,5036,,
Linköping,395,1040,9777,521,613,39793,916,1653,49570,445,840,9409,367,417,36245,812,1257,45654,840,1880,19186,888,1030,76038,1728,2910,95224,,
Skäggetorp,141,391,1755,34,51,929,175,442,2684,110,322,1637,26,23,747,136,345,2384,251,713,3392,60,74,1676,311,787,5068,,
Linköping,487,1057,10234,531,605,39936,1018,1662,50170,401,885,9815,366,416,36374,767,1301,46189,888,1942,20049,897,1021,76310,1785,2963,96359,,
Skäggetorp,182,431,1689,50,47,861,232,478,2550,182,359,1539,23,28,724,205,387,2263,364,790,3228,73,75,1585,437,865,4813,,
Linköping,716,1200,10126,807,617,39936,1523,1817,50062,642,956,9847,521,426,36356,1163,1382,46203,1358,2156,19973,1328,1043,76292,2686,3199,96265,,
Skäggetorp,131,435,1739,30,47,780,161,482,2519,157,403,1557,18,27,645,175,430,2202,288,838,3296,48,74,1425,336,912,4721,,
Linköping,456,1237,10651,460,660,40043,916,1897,50694,485,1087,10194,324,442,36466,809,1529,46660,941,2324,20845,784,1102,76509,1725,3426,97354,,
Skäggetorp,118,382,1840,22,41,733,140,423,2573,168,392,1568,20,28,560,188,420,2128,286,774,3408,42,69,1293,328,843,4701,,
Linköping,449,1029,11250,457,555,40221,906,1584,51471,526,1038,10515,294,384,36626,820,1422,47141,975,2067,21765,751,939,76847,1726,3006,98612,,
